"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Pasirinkite visus teisingus atsakymus. Kurie teiginiai apie steką (stack) yra teisingi?","Duomenys atlaisvinami tik LIFO tvarka (iš apačios/galo)","Kreipimasis į OS yra nebūtinas kiekvienai steko operacijai","Steko dydis praktiškai neribotas","Lokalūs kintamieji saugomi steke","A,B,D",""
"Kuo heap'o atmintis skiriasi nuo steko atminties valdymo požiūriu?","Heap'e atmintis atlaisvinama tik LIFO tvarka, steke – bet kokia tvarka","Heap dažnai reikalauja OS kvietimo naujai atminties daliai; galima atlaisvinti iš bet kur bet kada","Heap yra greičiau prieinamas nei stekas, nes jis arčiau procesoriaus","Heap'e negali saugoti objektų, tik bazinių tipų reikšmių","B",""
"MSVC atminties vizualizatoriuje matoma vertė 0xCD reiškia:","Atlaisvintą heap'o atmintį (po delete)","Neinicializuotą steko atmintį","Neinicializuotą heap'o atmintį (po new, prieš priskyrimą)","Rezervuotus heap'o baitus (guard bytes)","C",""
"MSVC atminties vizualizatoriuje matoma vertė 0xDD reiškia:","Neinicializuotą steko atmintį","Steko perpildymo aptikimo ženklą","Neinicializuotą heap'o atmintį","Atlaisvintą heap'o atmintį (po delete/free)","D",""
"Kokia yra pagrindinė priežastis, kodėl egzistuoja atminties hierarchija?","Neįmanoma sukurti atminties, kuri būtų vienu metu didelė, greita ir pigi","Procesoriai negali tiesiogiai pasiekti DRAM atminties","Operacinė sistema reikalauja atskirtų atminties tipų","Fiziniai apribojimai draudžia SRAM gaminti daugiau nei 1 MB","A","https://upload.wikimedia.org/wikipedia/commons/0/0a/Memory_Hierarchy.svg"
"Kiek kartų lėčiau (apytiksliai) yra pasiimti duomenis iš RAM lyginant su procesoriaus registrų prieiga?","2–5 kartus","4–50 kartų","100–200 kartų","1000 kartų","B",""
"Kur paprastai naudojama SRAM?","Operatyviojoje atmintyje (RAM moduliuose)","Kietajame diske (HDD) kaip buferis","Spartinančiojoje atmintyje (cache memory)","SSD kaip pagrindinė saugykla","C",""
"Kuo struktūriškai skiriasi SRAM ląstelė nuo DRAM?","SRAM sudaryta iš kondensatoriaus ir vieno tranzistoriaus; DRAM – iš D-Flip-Flop'ų","Nėra struktūrinių skirtumų – skiriasi tik darbinis dažnis","SRAM naudoja magnetinį sluoksnį; DRAM – elektrinius kondensatorius","SRAM sudaryta iš D-Flip-Flop'ų; DRAM – iš kondensatoriaus ir tranzistoriaus grandinių","D",""
"Kodėl DRAM reikalingas periodinis atnaujinimas (refresh)?","Nes kondensatoriai DRAM ląstelėse laikui bėgant išsikrauna ir duomenys prarandami","Nes DRAM ląstelės naudoja D-Flip-Flop'us, kurie praranda būseną be taktinio signalo","Nes DRAM magistralė nesinchronizuota su procesoriaus laikroduku","Nes kiekvienas nuskaitymas sunaikina duomenis ir OS turi juos atstatyti","A",""
"Pasirinkite visus teisingus atsakymus. Kokie yra NAND flash pranašumai prieš NOR flash?","Didesnė talpa","Greitesnis įtašymas ir trynimas","Tiesioginė baito lygio prieiga (byte-addressable)","Tinkamesnis saugykloms (SSD, išorinė atmintis)","A,B,D",""
"Kiek rašymo ciklų ištveria tipinis SSD NAND flash blokas?","~1 000 000 įrašymų","~100 000 įrašymų","~1 000 įrašymų","Neribota – SSD nedegrada","B",""
"Kodėl SSD laikui bėgant lėtėja?","Dėl magnetinio sluoksnio susidėvėjimo nuo rašymo galvutės","Dėl kondensatorių išsikrovimo flash atminties ląstelėse","Dėl blokų nusidėvėjimo – daug kartų skaitytus/rašytus blokus reikia perrašyti prieš naują įrašymą","Dėl HDD mechaninių dalių trinties","C",""
"Kuo magnetinė juosta (tape) skiriasi nuo HDD saugyklos prieigos būdu?","Magnetinė juosta leidžia tiesioginę prieigą (random access); HDD – tik nuoseklią","Abu įrenginiai veikia tik tiesioginę prieiga","Abu įrenginiai veikia tik nuoseklia prieiga","HDD leidžia tiesioginę prieigą; magnetinė juosta – tik nuoseklią (sequential)","D","https://upload.wikimedia.org/wikipedia/commons/f/f8/Seagate_ST33232A_hard_disk_inner_view.jpg"
"Kuo PROM skiriasi nuo Masked ROM?","Masked ROM suprogramuojamas lusto gamintojo gamybos metu; PROM galima suprogramuoti vieną kartą vartotojo","PROM galima perrašyti bet kiek kartų; Masked ROM – tik vieną kartą","PROM skaito greičiau nei Masked ROM","Masked ROM naudoja flash technologiją; PROM – magnetinę","A",""
"Pasirinkite visus teisingus atsakymus. Kokie yra DNR skaitmeninės duomenų saugyklos iššūkiai?","Didelė duomenų sintezavimo ir skaitymo kaina bei lėtumas","Klaidų galimybė koduojant/dekoduojant","Duomenys prarandami kai nebėra elektros (nėra išliekamumas)","Nepakankamas tankumas – 1 TB duomenų netelpa į 1 kg DNR","A,B",""
