"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Koks yra standartinis struktūrinio konflikto sprendimas konvejeryje?","Instrukcijų tvarkos keitimas kompiliatoriaus","Vėlinimas (delay / stall) – vienos ar kelių instrukcijų pristabdymas","Šakos prognozė (branch prediction)","Forwarding (persiuntimas)","B",""
"Pasirinkite visus teisingus atsakymus. Kokie yra duomenų priklausomumo konfliktų tipai?","RAW (Read after Write)","WAR (Write after Read)","WAW (Write after Write)","FAW (Fetch after Write)","A,B,C",""
"Šis kodas: add eax, ebx / sub ecx, eax – kokio tipo duomenų konfliktas atsiranda?","WAW – abi instrukcijos rašo į tą patį registrą","WAR – pirmoji instrukcija nori perskaityti tai, ką antroji ketina rašyti","RAW – antroji instrukcija (sub) nori skaityti eax, kurį pirmoji (add) dar nebaigė rašyti","Struktūrinis – abi naudoja ALU","C",""
"Kas yra forwarding (persiuntimas) duomenų konfliktų sprendimui?","Instrukcijų tvarkos keitimas, kad išvengtų priklausomybių","Šakos prognozės metodas spekuliatyviam vykdymui","Konvejerio sustabdymas, kol rezultatas bus įrašytas į registrą","Tarpinis rezultatas perduodamas tiesiogiai iš EX etapo išėjimo į kito EX etapo įėjimą, nelaukiant ST etapo","D",""
"Pasirinkite visus teisingus atsakymus. Kokie metodai naudojami duomenų konflikto sprendimui?","Vėlinimas (stall/delay)","Instrukcijų tvarkos keitimas (kompiliatoriaus arba procesoriaus)","Forwarding","Visų instrukcijų šalinimas iš konvejerio","A,B,C",""
"Paskaitoje pateiktas originalus kodas: add eax,ebx / mov suma,eax. Kokio tipo konfliktas matomas tarp šių dviejų instrukcijų?","RAW – mov suma,eax nuskaito eax prieš add baigdamas rašyti","WAW – abu rašo į eax","Struktūrinis – abu naudoja atminties prieigos vienetus","Jokio – mov naudoja kitą registrą","A",""
"Po tvarkos sukeitimo optimizuotame kode mov ecx,c perkeltas prieš add eax,ebx. Kodėl tai padeda?","Sumažina reikalingų registrų skaičių","Į tuščius ciklus įterpiama nepriklausoma instrukcija, suteikianti laiko eax reikšmei susiformuoti","Pašalina šakos prognozės poreikį","Pakeičia instrukciją RISC formatu","B",""
"Kodėl sąlyginės šakos (branch) sukelia valdymo nuoseklumo konfliktus konvejeryje?","Nes šakos instrukcija rašo į registrą, kurį naudoja kitos instrukcijos","Nes šakos instrukcija reikalauja dviejų ALU operacijų iš eilės","Nes kol nežinoma šakos kryptis, konvejeris nuskaito nereikalingas instrukcijas, kurias gali tekti atmesti","Nes šakos instrukcija netelpa į vieną instrukcijų ciklo fazę","C",""
"Kas nutinka konvejeriui aptikus nesąlyginę šaką (pvz. jmp)?","Konvejeris tęsia darbą nuosekliai – jmp ignoruojamas iki STORE RESULT","Naudojamas forwarding, kad išvengtų šuolio","Konvejeris persijungia į superskaliarinį režimą","Išvalomas konvejeris ir instrukcijos iš šuolio paskirties adreso paimamos iš anksto","D",""
"Valdymo uždelsimo diagramoje po instrukcijų 1 ir 2, instrukcija nr.3 (add edx,ecx) pradeda FETCH, bet vykdymas tęsiamas nuo 151-osios. Kas lėmė šį elgesį?","Sąlyginė šaka (jz done) instrukcijoje 2 buvo įvykdyta – vykdymas tęsiamas iš žymės done","Duomenų priklausomumo konfliktas tarp 1 ir 3 instrukcijų","Struktūrinis konfliktas dėl ALU užimtumo","Instrukcijų tvarkos sukeitimas kompiliatoriaus","A",""
"Kas yra statinis šakos prognozavimas?","Spėjimas pagrįstas konkrečios šakos praeities istorija","Spėjimas remiasi stereotipine programavimo struktūra, neatsižvelgiant į konkrečios šuolio istoriją","Spėjimas naudojant branch history table su n bitais","Spėjimas naudojant gshare algoritmą","B",""
"Koks statinio prognozavimo tikslumas, kai visada spėjama, kad šaka NEĮVYKS?","~50%","~80,2%","~76,6%","~90,4%","C",""
"Koks statinio prognozavimo tikslumas, kai spėjama, kad šaka įvyks, jei šoka atgal (backward branch)?","~50%","~76,6%","~90,4%","~80,2%","D",""
"Kas yra dinaminis šakos prognozavimas?","Spėjimas pagrįstas konkrečios šakos praeities rezultatų istorija vykdymo metu","Kompiliatoriaus atliekamas statinis prognozavimas pagal kodo struktūrą","Konvejerio išvalymas kiekvieną kartą kai aptinkama šaka","Visų galimų šakos kelių lygiagretus nuskaitymas","A",""
"Koks dinaminio prognozavimo tikslumas naudojant 1 istorinį globalų bitą?","~76,6%","~90,4%","~80,2%","~99,0%","B",""
"Pasirinkite visus teisingus atsakymus. Kurie teiginiai apie dinaminį šakos prognozavimą yra teisingi?","Pradžioje spėjama, kad šaka neįvyks (arba įvyks), vėliau spėjama pagal istoriją","Jei žiūrima į vieną istorinį rezultatą – saugomas 1 bitas","Branch history table naudojama kai žiūrima į daugiau istorinių rezultatų","gshare žiūri į konkrečios šuolio istoriją, ne bendrą","A,B,C",""
"Kas yra kelių srautų (multiple streams) metodas valdymo konfliktui spręsti?","Instrukcijų laikymas greitoje buferinėje atmintyje (loop buffer)","Spėjama pagal buvusius šakos rezultatus","Išsaugomos instrukcijos abiem šakos atvejams – tiek jeigu įvyktų, tiek jeigu neįvyktų","Forwarding metodas duomenų persiuntimui","C",""
"Kas yra loop buffer metodas ir kokiame konvejerio etape jis kontroliuojamas?","Dinaminio prognozavimo lentelė; kontroliuoja STORE RESULT etapas","Atminties buferis duomenų persiuntimui; kontroliuoja EXECUTE etapas","Registro failas, optimizuotas ciklo kintamiesiems; kontroliuoja DECODE etapas","Labai greita atmintis, laikanti n paskutinių instrukcijų; kontroliuoja FETCH etapas","D",""
"Pasirinkite visus teisingus atsakymus. Kokie yra superskaliarinio procesoriaus bruožai, minimi paskaitoje?","Gali vykdyti kelias instrukcijas vienu taktiniu ciklu, nes turi kelis vykdymo vienetus","Leidžia kelioms instrukcijoms tuo pačiu ciklu naudotis ALU nesukeliant struktūrinio konflikto","Veikia tik su CISC instrukcijomis","Nereikia branch prediction","A,B",""
"Idealaus konvejerio teorinis pagreitėjimas lyginant su nuosekliuoju vykdymu yra lygus:","Etapų skaičius (N)","Instrukcijų skaičius","Takto dažnio vertei","Branduolių skaičius","A",""
"Dėl kokios priežasties praktikoje konvejerio pagreitėjimas yra mažesnis nei teorinis (N kartų)?","Nes procesorius negali naudoti daugiau nei vieno registro","Nes instrukcijų etapai trunka skirtingus laiko tarpus, o konfliktai sukelia vėlinimus","Nes konvejeris veikia tik su CISC instrukcijomis","Nes spartinančioji atmintis (cache) blokuoja konvejerį","B",""
