QUESTION,ANSWER_A,ANSWER_B,ANSWER_C,ANSWER_D,ANSWERS,IMAGE
"Kaip funkcionuoja sistemos kadrų sparta įjungus vertikalią sinchronizaciją (V-Sync) situacijoje, kur GPU pajėgia generuoti 200 kadrų per sekundę, bet monitorius gali atkurti tik 120 Hz?","Vaizdo plokštė dirbs visu 200 FPS greičiu išnaudodama elektrą, tačiau OS per 'Page flipping' metodu atmes 80 kadrų jų net neatvaizduodama.","Monitoriaus atsinaujinimo dažnis programiškai perkraunamas (overclocking) ir monitorius pradedamas forsuoti dirbti 200 Hz greičiu.","Sistemos vaizdo plokštės sparta bus dirbtinai pristabdyta ir 'užrakinta' lygiai ties 120 FPS atžyma, idealiai priderinant kadrų atidavimą prie ekrano atnaujinimo ciklų.","Atsiranda milžiniškas ekrano plyšimo (screen tearing) artefaktų kiekis, kurį kompensuoja tik įsijungęs trečiasis slaptas buferis.","C",""
"Kokią žalingą pasėkmę vaizdų kaitoje turi įjungtas V-Sync tuomet, kai sudėtingame 3D žaidime GPU pajėgumas staiga nukrenta žemiau monitoriaus atsinaujinimo dažnio (pvz., generuojami 45 kadrai ant 60 Hz monitoriaus)?","Kadangi GPU nespėja paruošti pilno kadro ciklui, 'Front buffer' monitoriui rodo tą patį seną kadrą dar vieną atnaujinimo ciklą, iššaukiant FPS kritimą (FPS drop).","Vaizdo plokštė automatiškai sumažina ekrano rezoliuciją tam, kad žūtbūt atstatytų 60 FPS, dėl ko tekstūros tampa pastebimai neryškios (blurry).","Sugenda puslapių keitimo rodyklių mechanizmas, kuris automatiškai iššaukia buferio perpildymo klaidą C++ programoje.","Susiformuoja agresyvus plėšymo defektas, nes ekranas nuskaito tik viršutinę GPU sugeneruoto kadro dalį ir kompensuoja likutį juodu fonu.","A",""
"Tarkime, programinio ciklinio buferio dydis sistemoje yra tiksliai N elementų. Kokia loginė sąlyga apibrėžia 'perpildymo' (overflow) grėsmę ciklinės eilės išraiškoje, reiškiančią, kad daugiau elementų pridėti negalima be perrašymo?","Jeigu sekančioje numatytoje eilės padėtyje įrašymo rodyklė pasiveja skaitymo rodyklę ratu (pvz., `(back + 1) % N == front`).","Kai skaitymo `front` rodyklė tampa idealiai lygi įrašymo `back` rodyklei, o po operacijų konvejeris neturi jokių aktyvių elementų.","Kuomet absoliuti įrašytų elementų visos istorijos suma viršija kintamojo deklaruotą dydį 64 bitų sistemose.","Kai `front` rodyklė ir `back` rodyklė asimetriškai persidengia spartinančiojoje atmintyje ir aktyvuoja TLB išimtį aparatūroje.","A",""
"Apibrėžiant buferių naudojimo principą tinkle, kas atsitinka, kai serveris informaciją siunčia didžiuliais netolygiais pliūpsniais (bursts), tačiau vaizdo atkūrimo programinė įranga ją atkoduoja lėtu tolygiu greičiu?","Programa pasinaudoja V-Sync funkcija, kuri informuoja serverį sulėtinti bitų pralaidumą proporcingai monitoriaus 60Hz atsinaujinimo dažniui.","Įvesties (Input) buferis laikinai 'sugeria' šiuos gigantiškus pliūpsnius ir kaupia rezervą, suteikdamas atkūrimo procesui stabilų duomenų šaltinį nepriklausantį nuo tinklo šuolių.","Serverio pliūpsniai atmetami procedūros metu tam, kad duomenų buferis visiškai neprisipildytų per vieną konvejerio takto ciklą.","Sistemos procesorius priverstinai perkelia duomenis iš 'Back buffer' į loginį vartų elementą taip sinchronizuodamas operacijas interneto sraute.","B",""
"Kokios destruktyvios pasekmės gali ištikti klasikinę programą, jeigu asmuo sėkmingai sukelia „Buffer Overflow“ pažeidžiamumą operacinėje sistemoje? (Pasirinkite visus teisingus atsakymus)","Piktavalis gali modifikuoti programos grįžtamąjį adresą (return pointer) steke ir priversti sistemą vykdyti jo infiltruotą kenkėjišką kodą.","Perteklinė simbolių eilutė gali sunaikinti greta buferio esančius sistemos ar programos svarbius kintamuosius, iškreipiant programos logiką.","Sistema dažniausiai užfiksuoja atminties klaidos kreipinį, po kurio programa priverstinai „užlūžta“ ir užsidaro (crash).","Perrašančios komandos akimirksniu modifikuoja kompiuterio procesoriaus taktinį dažnį, priversdamos jį paleisti trigubo buferizavimo algoritmą aparatiniame lygmenyje.","A,B,C",""
"Analizuojant 8 elementų primityvų „ratu-ciklinės“ (perrašantį senus elementus) buferio algoritmą. Atlikus komandą įterpti dešimtą iš eilės elementą, nepadarius nei vienos išėmimo (`dequeue`) operacijos, kas teoriškai įvyksta?","Buferio masyvas programoje išsiplės nuo 8 iki 16 elementų talpos tam, kad automatiškai apsaugotų programuotoją nuo duomenų praradimo ilguose cikluose.","Algoritmas iššaukia V-Sync procedūrą, palikdamas senus duomenis vietoje, ir laukia kol vartotojas vizualiai pamato ekrane sugeneruotus elementus iš eilės.","Įrašymo rodyklė `back` užbaigs visą apvalų ciklą, ir pradės įrašinėti duomenis į 0-ąją ir 1-ąją indeksų vietas grubiai perrašydama ten buvusius seniausius elementus.","Programa operatyviai iššaukia išjungimo procesą perkeldama visus likusius paketų duomenis į L1 spartinančiąją atmintį ir sustabdo skaitymą.","C",""
"Kodėl e-sporto žaidimų vartotojai dažnai pasirenka visiškai IŠJUNGTI vertikalią sinchronizaciją (V-Sync), nors žino, kad tai sugeneruos neestetišką 'Screen Tearing' ekrano plėšymo efektą?","Išjungtas V-Sync priverstinai aktyvuoja trečiojo buferio (Triple Buffering) technologiją, kuri automatiškai atstato pažeistus vaizdo kadrus aparatiniu būdu.","V-Sync režimas ir dirbtinis kadrų sulaikymas paprastai padidina procesų įvesties vėlavimą (input lag) reakcijose, tad išjungta sinchronizacija užtikrina pačią mažiausią įmanomą valdymo delsą.","V-Sync visuomet padvigubina apkrovą sistemai ir padidina GPU kadrų skaičių iki beprotiškų ribų, tad išjungimas apsaugo kompiuterį nuo perkaitimo.","Ši išjungimo technika neleidžia suveikti 'Buffer overflow' pažeidžiamumams C++ kodo bibliotekose tinklo perdavimo metu.","B",""
"Kas konkrečiai atliekama programinės įrangos vaizdo buferizavimo etape, kuris vadinasi „išvalomas buferis“ (buffer clear) iškart po sėkmingo kadro išsiuntimo atvaizdavimui?","Visi laisvu tapusio „Back buffer“ atminties zonos pikseliai yra užpildomi fono spalvos kodu (dažniausiai juoda), paruošiant sterilią erdvę sekančio kadro objektų piešimui iš naujo.","Iš buferio skubiai pašalinami nekokybiški ekrano plyšimo pertrūkiai panaudojant L1 spartinančiąją atmintį dar prieš apkeičiant 'Front' ląstelių adresus.","Sistema išsiunčia `dequeue()` instrukcijų rinkinį, kad procesorius konvejeryje išlaikytų tą patį grafinį vaizdą amžinai nenaudojant perėjimų.","Operacinė sistema atleidžia kintamųjų apribojimą masyvams, todėl vaizdo programa tampa nepažeidžiama jokiems buferio hakerių išpuoliams sekančiuose cikluose.","A",""
"Pasiremdami FIFO principo logika: turime tuščią buferį. Iš eilės vykdome: `enqueue(11)`, `enqueue(0)`, `enqueue(15)`. Po šios operacijos įvykdoma viena `dequeue()` komanda. Kokios skaitinės reikšmės liko buferyje ir koks skaičius bus pašalintas esant sekančiai `dequeue()` operacijai?","Buferyje liko skaičiai 11 ir 0. Sekanti operacija iš jo privalomai pašalins skaičių 11.","Buferyje liko skaičiai 0 ir 15. Sekanti operacija iš jo privalomai pašalins skaičių 0.","Buferyje liko skaičiai 11 ir 15. Sekanti operacija iš jo privalomai pašalins skaičių 15.","Buferyje liko skaičiai 0 ir 15. Sekanti operacija iš jo privalomai pašalins skaičių 15.","B",""
"Nagrinėjant prastą C++ kodo iškarpą `char buffer[64]; strcpy(buffer, argv[1]);`, koks sprendimas būtų tinkamas programuotojui, siekiant inžineriškai ištaisyti grėsmę programoje? (Pasirinkite visus teisingus atsakymus)","Ciklinės `front` ir `back` rodyklės turi būti nustatytos į tą patį indeksą rankiniu būdu tam, kad duomenys vietoje įrašymo taptų tik nuskaitomais.","Tradicinės `strcpy` funkcijos pakeitimas saugesne (pvz., `strncpy`), kuri algoritme apriboja kopijuojamų baitų skaičių iki maksimalaus buferio ilgio.","Žemutinio lygio simbolių masyvų atsisakymas naudojant dinaminius C++ objektus, pavyzdžiui, `std::string`, kurie plečia savo talpą automatiškai pagal reikalavimus.","Prieš pradedant naudoti masyvą, programoje būtina iškviesti vertikalią sinchronizaciją tam, kad įvedami duomenys išvengtų nuskaitymo vėlavimų 'Input lag' fazėje.","B,C",""
"Kokią esminę paskirtį sistemoje atlieka vaizdo nustatymas 'Frame Rate Cap' (Kadrų dažnio apribojimas) ir kuo tai skiriasi nuo tradicinio V-Sync veikimo modelio?","Šis nustatymas aparatiškai priverčia monitoriaus matricą suktis 120Hz ar didesniu greičiu taupant įrenginio elektrą magistralėje.","Skirtingai nei V-Sync dvigubas buferis, 'Frame Rate Cap' automatiškai pritaiko išskirtinai trigubą buferizavimą visose programose eliminuodamas perpildymo problemas.","Jis taupo sistemos resursus tiesiog apribojant GPU kadrų generavimo greitį, tačiau nesinchronizuoja atidavimo momento su monitoriaus atnaujinimo ciklu, todėl neužkerta kelio 'tearing' plėšymui.","'Frame Rate Cap' pakeičia 'Page flipping' algoritmą į lėtą linijinio pikselių kopijavimo mechanizmą, kuris visiškai atjungia 'Back buffer' nuo procesų grafiko.","C",""
"Kodėl sistemoje MDR (Memory Data Register) registras procesoriaus ir operatyviosios atminties (RAM) kelyje pasiteisina ir architektūriškai atlieka duomenų buferio vaidmenį?","Nes jis veikia kaip 'tiltas', laikinai sulaikantis nuskaitytą duomenų reikšmę tol, kol vidiniai procesoriaus konvejerio elementai tampa pasiruošę priimti ar išsiųsti informaciją tinkamu taktu.","MDR komponentas pats atlieka virtualių adresų fizinius vertimus vietoje lėtesnio TLB įrenginio prieš parodant 3D grafiką ekranuose cikle.","Kompiuteris negali turėti jokių kitokių įvesties mechanizmų (pvz., klaviatūros buferio), todėl MDR privalo dirbti ir kaip klaviatūros masyvo ciklinė eilė.","Registras veikia išskirtinai apsaugodamas procesorių nuo programišių paleidžiamų išpuolių, aktyviai identifikuodamas viršytus `argv` elementus C++ komandose ir juos išvalydamas.","A",""
"Vizualioje bilietų kasos pavyzdžio metaforoje, kuri pristatyta skaidrėse apibūdinant 'nottscountydirect', kas šioje schemoje geriausiai atitinka programinę operaciją 'enqueue()'?","Kai kasos darbuotojas aktyvuoja pertrauką ir aptarnavimas sustabdomas.","Kai žmogus yra aptarnaujamas kasos priekyje ir tvarkingai palieka laukiančiųjų asmenų eilės apribojimus (išėjimas).","Kai naujai atvykęs žmogus fiziškai atsistoja į pačią stovinčios asmenų rikiuotės pabaigą, kad tvarkingai sulauktų savo eilės.","Kai atsitiktinis praeivis gatvėje tiesiogiai prieina prie langelio be laukimo, pažeidžiant klasikinio V-Sync organizavimo ir FIFO komandų procedūras.","C",""
"Atidžiai apžvelkite viengubo buferio (single buffering) procesą piešiant grafikos vaizdą. Koks pagrindinis technologinis trūkumas privertė programuotojus migruoti prie dvigubų matricų stategijų?","Vaizdo masyvas nuolat generavo neprognozuojamą ekrano plyšimą (screen tearing), net ir atitikus atsinaujinimo Hz monitoriuje ir įjungus V-Sync rėžimą operacinėje sistemoje.","Viengubame modelyje procesorius skaičiuoja kiekvieną pikselį lėtai ir tiesiogiai į rodomą ekraną, todėl žmogaus akis sistemingai stebi ir mato patį braižymo (mirgėjimo) procesą vietoje užbaigto kadro.","Viengubas buferis leido tik teksto rodymą terminale, todėl spalvotos 3D grafikos skaičiavimai buvo apskritai neįmanomi naudojant tik procesoriaus C++ kompiliatorių.","Konvejerio mikroschemoms toks principas tiesiogiai kėlė perpildymo (overflow) klaidas, kai vaizdo signalai be 'strcpy' metodikos modifikavo kintamuosius buferyje.","B",""
"Ciklinės eilės (circular queue) „rato“ struktūroje, į tuščią pradžią įterpiame elementus A, B, C, kurie užpildo indeksus 0, 1, 2. Skaitymo pradžią rodo rodyklė `front`, kuri stovi ties nuliu. Atlikus vieną `dequeue()` išėmimo operaciją, ties kokiu indeksu dabar atsistos `front` rodyklė?","Rodyklė išliks nepakitusioje indekso numeris 0 lokacijoje, tačiau elementas A taps kompiuteriniu nuliu išvalant bitus matricose aparatiškai.","Rodyklė bus dirbtinai perstatyta į masyvo paskutinę ciklo ląstelę aktyvuojant programos grįžtamojo adreso išimtį atmintyje.","Išskirtinai sumodeliuotas `front` iššoks iš FIFO konvejerio apribojimų ir susilygins su įrašymo rodykle ties indeksu 3, sustabdydama skaitymą.","Rodyklė pasislinks ir dabar stovės ties indeksu numeris 1, kadangi nulinio indekso informacija (A elementas) buvo logiškai nuskaityta ir pašalinta.","D",""
"Kaip mikroprocesorių įrenginiuose yra suderinamas ir bendrai valdomas asimetrinis išorinių įvesčių (pvz. klaviatūros ar tinklo) srautas panaudojant atminties sulaikymą – buferius? (Pasirinkite visus teisingus atsakymus)","Sistemoje egzistuoja techninės realizacijos (kaip klaviatūros registrų KBDR eilė), kurios laiko nuspaustus mygtukus eilėje ir neleidžia procesoriui 'miegoti' stebint asimetrinį greitį po vieną baitą.","Tinklinis prievadas nepastovius paketus kaupia duomenų imtuvo buferyje tam, kad procesorius galėtų operatyviai apdoroti visą grupę paketų nepriklausomai nuo ryšio vėlavimų.","Visuose procesoriuose vietoje buferių pradėta operuoti pasitelkiant išimtinai ir tik klasikinį vertikalios grafikos (V-Sync) ciklą klaviatūrų paspaudimams matuoti.","Kiekvienas įvesties siunčiamas srautas automatiškai perrašo visą ekrano kadrą pasitelkiant komandą 'Page flipping' taip paspartindamas interneto atsako laikus C++ koduose.","A,B",""
"Vertinant teorinį ryšį tarp 'V-Sync Off' nustatymo ir ekrano plyšimo (Screen Tearing) fenomeno, ar plėšymas gali teoriškai pasirodyti ekrane, jeigu GPU atiduodamas dažnis yra ženkliai *mažesnis* nei originalus monitoriaus atsinaujinimo dažnis (Hz)?","Ne, plėšymas yra išskirtinai kadrų perteklinės gamybos problema, kai GPU dirba per greitai; jeigu jis atsilieka, dvigubas buferis saugo lygų statinį vaizdą išvengdamas bet kokių trūkinėjimų.","Taip, plyšimas pasireikš nepriklausomai nuo to ar kadrų per daug, ar per mažai – bet koks tiesioginis GPU ir monitoriaus ciklo asinchronizavimas 'Front buffer' ląstelių piešimo momentu iššauks dviejų skirtingų kadrų parodymą ekrane vienu metu.","Plėšymas pasireiškia išskirtinai ir tik esant V-Sync ON konfigūracijai, kuomet trigubas buferis bando perrašyti atbuline seka atliktus kadrus ir perkrauna monitoriaus valdiklį per magistralę.","Ne, plėšymo defektą lemia ir provokuoja absoliučiai vienintelis veiksnys: negebėjimas programiniams valdikliams kompiuteryje pritaikyti C++ apsaugos modulių tekstūroms apsaugant `argv` nuo perpildymo.","B",""
