"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kas atsitinka kubitui kvantinėje grandinėje, kai jam pritaikomas matavimo (Measurement) blokas?","Kubitas pereina į aukštesnį energijos lygmenį ir tampa tobulu fotonu, keliaujančiu per skaičiavimo magistralę be pasipriešinimo.","Matavimo blokas veikia kaip atminties buferis, išsaugodamas kubito superpoziciją neribotam laikui standžiajame SSD diske.","Kubitas dauginasi, sukurdamas savo paties kopijas, atitinkančias visus įmanomus atsakymų variantus C++ išvedimo masyve.","Kubito kvantinė būsena kolapsuoja (redukuojasi), superpozicija yra sunaikinama, ir kubitas pavirsta į apibrėžtą klasikinį bitą (0 arba 1).","D",""
"Kurie algoritmai ir taikymo sritys yra ypač perspektyvūs, pasitelkiant kvantinių kompiuterių pranašumą? (Pasirinkite visus teisingus atsakymus)","Optimizacijos, finansų ir logistikos uždaviniai (paieška didžiulėse skaičiavimų duomenų aibėse).","Tradicinis vaizdo žaidimų grafikos renderinimas (pvz., aukšto FPS pasiekimas dvigubu vaizdo buferizavimu).","Kriptografija (didelių skaičių skaidymas į pirminius daugiklius ir RSA šifrų nulaužimas).","Chemija ir medicina (sudėtingų molekulių struktūrų ir reakcijų tikslus modeliavimas).","A,C,D",""
"1935 metais suformuluotas „EPR paradoksas“. Su kokia kvantine savybe jis tiesiogiai susijęs?","Pirmaisiais šviesolaidžiais perduodamais fotonų lazerio impulsais atominėse elektrinėse.","Blocho sferos matematinio vektorinio modulio nebaigtumu įrodant Tiuringo mašinų skaičiavimus.","Bangų-dalelių dualumu ir interferencija moksliniuose eksperimentuose su dviejų plyšių plokštėmis.","Kvantiniu susietumu (Entanglement), kai dalelės reaguoja viena į kitą nepaaiškinamai greitai dideliu atstumu.","D",""
"Kaip vadinasi IBM kompanijos platforma/programa (matoma skaidrėse), leidžianti naršyklės grafinėje sąsajoje kurti kvantines grandines, dėlioti loginius vartus ir jas simuliuoti?","Google Sycamore Lab Cloud","IBM Quantum Composer","Intel Quantum SDK Interface","IBM Quantum Virtual Machine (QVM)","B",""
"Kokia loginio elemento „Toffoli“ (CCX arba CCNOT) pagrindinė paskirtis kvantinėje architektūroje?","Jis veikia kaip paprastas klasikinis „OR“ elementas – atstato būsenas praradus superpoziciją į |0⟩ bazę.","Tai trigubas loginis elementas, kuris apverčia trečiojo (Target) kubito būseną tik tuo atveju, jeigu abiejų pirmųjų dviejų (Control) kubitų reikšmės yra tiksliai 1.","Jis automatiškai išmatuoja ir išveda visų sistemos kubitų reikšmes vienu metu į dvimatį ekraną.","Tai fizinis izoliacijos vartų mechanizmas, neleidžiantis kvantinei dekoherencijai sugriauti sistemos aušinimo.","B",""
"Tarkime, turite grandinę, kur kubitui iš pradinės būsenos |0⟩ pritaikomi Hadamard (H) vartai, o tada nedelsiant atliekamas matavimas (Z). Kokia bus tikimybė gauti rezultatą 1?","Gausime atsakymą 2, nes Hadamard vartai teoriškai dvigubina kubito vertę lyginant su standartine matrica.","100%, nes Hadamard vartai yra iš esmės lygiai tas pats kas klasikiniai X (NOT) loginiai vartai.","0%, nes po bet kokio matavimo kubitas visada grįžta į pradinę |0⟩ energijos būseną ir išsijungia.","Tiksliai 50% (0.5), nes Hadamard sukuria absoliučiai tolygią dviejų būsenų superpoziciją.","D",""
"Jeigu kompaso metaforos pavyzdyje kubitas yra būsenoje, kurioje šiaurė (1) atitinka 0.64 tikimybę, o pietūs (0) atitinka 0.36 tikimybę, kas nutiks atlikus tiksliai šios būsenos kubito matavimą didelį kiekį kartų?","Kiekvieną kartą atliekant matavimą procesoriaus rezultatas ekrane bus visada skaičius 0.64.","Kubitas po pirmo matavimo susikels į 1 vertę, ir pirmus 36 kartus rodys 1, o sekančius 64 kartus 0 išlaikant eiliškumą.","Apytiksliai 64% visų atliktų matavimų rezultatų sugrąžins skaičių 1, o 36% sugrąžins skaičių 0.","Matavimas aparatūroje nepavyks, nes kvantinė tikimybių suma viršija nustatytą kvantinę konstantą π.","C",""
"Pagal skaidrėse pateiktą grafiką, kaip apytiksliai kito pasaulinis susidomėjimas ir įkurtų kvantinių organizacijų (Quantum Organizations) kiekis nuo 2002 m. iki 2019-2022 m.?","Nuo 2013-2015 m. matomas staigus eksponentinis šuolis, kur įkurtų organizacijų skaičius per metus išaugo kelis kartus, pasiekdamas globalų piką apie 2019 metus.","Daugiausia kvantinių įmonių buvo įkurta išimtinai apie 1980 m. po Feynman'o kalbos, o 2019 m. fiksuotas tik bankrotų bumas.","Kvantinių organizacijų pasaulyje egzistuoja ir dominuoja tik trys: IBM, Google ir D-Wave, daugiau inovatyvių įmonių nebuvo įkurta.","Nuo 2002 m. iki 2022 m. organizacijų skaičius nuosekliai ir tiesiškai mažėjo, kol pasaulinė rinka visiškai prarado susidomėjimą.","A",""
"Kodėl Šriodingerio katino eksperimento idėja („ir gyvas, ir miręs“) yra itin svarbi aiškinant kvantinę kompiuteriją vartotojams? (Pasirinkite visus teisingus atsakymus)","Ji atskleidžia realų fizikinį faktą, jog kvantiniai kompiuteriai privalo būti statomi iš biologinių neuronų tinklų ir gyvūnų DNR ląstelių atliekant C++ kodo matavimus.","Ji puikiai iliustruoja makroskopinę superpozicijos analogiją – sistemos būsena išlieka neapibrėžta ir talpina visas įmanomas išeitis vienu metu.","Eksperimentas matematiškai įrodo, kad visos sintaksės klaidos (bugs) koduose savaime išsitaiso, jeigu programuotojas tiesiogiai nežiūri į monitorių proceso metu.","Ji padeda suvokti matavimo akto (dėžės atidarymo) reikšmę: tik sąveikaujant su stebėtoju kvantinė banginė būsena kolapsuoja į konkretų apibrėžtą atsakymą.","B,D",""
"Kas žymima ir pavaizduojama Blocho sferoje (Bloch sphere) naudojant trijų dimensijų x, y ir z ašis bei kampus θ ir φ?","Viso globalaus kvantinio kompiuterio kietojo disko (HDD) talpos ir magnetinių sektorių apskaičiavimo sferinė diagrama informatikams.","Tai erdvinis geometrinis kubito banginės funkcijos (būsenos |ψ⟩) atvaizdavimas, padedantis vizualizuoti superpoziciją ir kompleksines amplitudes sistemoje.","Traektorija, kuria mikroskopinis fotonas juda 3D erdvėje iki atsitrenkimo į ekraną Feynman'o dviejų plyšių lazeriniame eksperimente.","Fizinio atvėsinto kvantinio procesoriaus išorinis sferinis apvalkalas ir jo tvirtinimo ašys (x,y,z) realiose laboratorijose atlaikyti gravitacijai.","B",""
"Kurį iš šių algoritmų kvantinis kompiuteris spręstų visiškai neefektyviai, ir greičiausiai veiktų prasčiau ar taip pat lėtai kaip ir paprastas klasikinis namų kompiuteris?","Labai sudėtingos vaisto cheminės molekulės modeliavimas superpozicijoje, simuliuojant atomų ir elektronų ryšius erdvėje.","Asimetrinio RSA šifravimo privačiojo rakto iškodavimas ir milžiniškų skaičių pirminių daugiklių dekonstrukcija internete.","Geriausio ir pigiausio maršruto paieška (optimizavimas) tūkstančių mazgų realaus laiko pasaulinės logistikos tinkle.","Nuoseklus, paprastas sąlyginis if/else failų apdorojimas tekstiniame dokumente, kur nėra jokių sudėtingų paieškų ar paralelių tiesinių problemų.","D",""
"Kokia teorinė technologija vizualizuojama Intel „Full Stack Approach“ (pilno steko) schemoje skaidrėse, skirta efektyviai bendrauti tarp klasikinės ir kvantinės aparatinės įrangos valdiklių?","Analoginių vakuumo vamzdžių sistema, atkurianti klasikinio ENIAC kompiuterio logiką moderniame kvantiniame fotonų lygmenyje šaldytuvuose.","DNR sekų analizatorius, skaitantis ir modifikuojantis biochemines reakcijas atominio laikrodžio greičiu pritaikant Josephson junction modulius.","Fotoninių šviesolaidžių modemas su įmontuotu belaidžiu 5G tinklu, išmaniai blokuojantis visus foninius kvantinius matavimo triukšmus kosmose.","Kambario temperatūroje veikiantis elektronikos „Horse Ridge II Control Chip“ lustas ir „C++ Quantum Compiler“ programinė įranga.","D",""
"Kokia esminė fizikos izoliacijos problema, stabdanti masinę kvantinių kompiuterių gamybą, yra akcentuojama inžinierių skaidrėse?","Kvantinė informacija ir jos superpozicija yra ypatingai trapi; kubitai privalo būti pilnai ir hermetiškai atskirti nuo šilumos, elektromagnetinių laukų ir bet kokių išorės elementų trikdžių, antraip iššaukiama dekoherencija.","Kubitai taip stipriai magnetizuojasi besisukdami Blocho sferoje, kad tiesiog ištraukia vinis iš sienų ir deformuoja laboratorijos pastato architektūrines struktūras.","Kvantinių procesorių sukuriamas radijo triukšmas akimirksniu pažeidžia visą klasikinę elektroniką 100 metrų spinduliu, tad serverius tenka privalomai laidoti po žeme kalnuose.","Inžinerinė izoliacija reikalinga išimtinai ir tik tam, kad internetiniai hakeriai Wi-Fi tinklu nepavogtų jūsų atliekamų slaptų kvantinių skaičiavimų radijo bangų signalais.","A",""
"Kaip skiriasi kvantinio bito bazinės būsenos |1⟩ reprezentacija matricinėje algebroje, lyginant ją su loginio elemento Pauli-X matrica?","Būsena |1⟩ išreiškiama tiesiog paprastu skaičiumi 1 kompiuterio atmintyje, o Pauli-X atitinka nerealistinę kvadratinę lygtį x^2 = -1.","Būsena |1⟩ yra atvaizduojama begalybės simboliu informatikos teorijoje, o Pauli-X vaizduojamas tiesiog raide X virtualiose mašinose.","Būsena |1⟩ išreiškiama tiesiniu stulpeliniu vektoriumi [0, 1]^T, o tuo tarpu Pauli-X (NOT) vartai išreiškiami 2x2 operacine matrica [0 1; 1 0].","Tiek bazinė būsena, tiek loginis elementas Pauli-X operacijų lange išreiškiami visiškai identiška ir vienoda Hadamard interferencine matrica.","C",""
"Kokios yra žinomos ir populiarios „Daugelio pasaulių interpretacijos“ (Many-worlds interpretation) teorinės pasekmės kvantinės mechanikos eksperimentuose (kaip pvz. su katinu)?","Tai įrodytas praktinis inžinerijos būdas, tiesiogiai interneto magistralėmis peržengti laiko ir erdvės ribas bendraujant su kitomis saulės sistemų planetomis.","Tai teorinė kvantinės fizikos interpretacija teigianti, kad matavimo akto metu banginė funkcija iš tikrųjų nesugriūva, o pati visata paraleliai pasidalina į atskiras lygiagrečias realybes kiekvienam galimam matavimo (būsenos) rezultatui.","Tai programinis metodas, leidžiantis programuotojams dirbant su IBM kvantiniais kompiuteriais sėkmingai paleisti ir simuliuoti kelias skirtingas programas Linux operacinės sistemos branduolyje.","Tai fundamentali loginė klaida Paul Benioff Tiuringo mašinos modelyje, kurią galiausiai išsprendė ir atitaisė Peter Shor naudodamas savo priminių daugiklių algoritmą 1994 metais.","B",""
"Kaip kvantinėje kompiuterijoje vadinamas loginis elementas CZ (Controlled Z), ir kokį konkretų funkcinį poveikį jis atlieka grandinėje?","Jis komandoje automatiškai ištrina ir nulina abu sujungtus kubitus paverčiant juos lygiai |0⟩ būsenos klasikiniais bitais be superpozicijos pėdsakų.","Tai virtualus programinis izoliacinis sluoksnis kode, griežtai saugantis sistemą nuo kvantinio susietumo atsitiktinumų generuojant skaičius.","Jis tiesiogiai sukeičia (SWAP komanda) dviejų pasirinktų kubitų reikšmes vietomis visiškai nepriklausomai nuo jų superpozicijos ar interferencijos lygio sistemoje.","Jis pritaiko Pauli-Z (Z) fazės poslinkio matricos operaciją pasirinktam antrajam (Target) kubitui tik tokiu atveju, jeigu pirmojo (Control) kubito būsena yra lygi 1.","D",""
"Jeigu turime kvantinę sistemą sudarytą iš griežtai N=3 kubitų. Kiek maksimaliai skirtingų klasikinių bazinių būsenų galėtų egzistuoti tokios sistemos globalioje superpozicijoje vienu metu?","3 skirtingos būsenos (nes kubitai veikia tik tiesiškai pavieniui kompiuteryje be susietumo galimybių).","8 skirtingos būsenos (nes 2 pakelta 3-iuoju laipsniu yra 8).","9 skirtingos būsenos (nes 3 pakelta kvadratu yra lygiai 9).","6 skirtingos būsenos (nes 3 kubitai padauginti iš 2 galimų verčių lygus 6).","B",""
"Remiantis IBM Quantum Roadmap diagrama (pateikta skaidrėje 'Raida – šiuo metu..'), kokį kvantinį superkompiuterį su kokia neįtikėtina elementų apimtimi korporacija planuoja sukurti apie 2033 metus?","„100,000-qubit quantum-centric supercomputer“ (milžinišką 100 tūkstančių kubitų skaičiavimo klasterio tinklą).","Visiškai tobulą 54-kubitų Sycamore kompiuterį gebantį autonomiškai veikti standartiniame žmogaus mobiliajame telefone išnaudojant 5G.","433 kubitų kompiuterį, kuris bus visiškai pritaikytas pakeisti stalinius PC asmeniniam kasdieniam vartotojų naudojimui biuruose ir namuose.","Sukurti neribotos apimties (infinity-qubit) kvantinį debesų (Cloud) kompiuterį veikiantį be jokių optinių kabelių ar skysto azoto šaldymo įrenginių pramonėje.","A",""
"Apibendrinant visą kvantinės kompiuterijos filosofiją ir fizikos principus – kuris iš šių žemiau pateiktų teiginių yra labiausiai KLAIDINGAS remiantis paskaitos medžiaga?","Kvantinis kompiuteris technologiškai yra lygiai tas pats kaip ir labai galingas įprastas kompiuteris, skirtumas tas, jog jis naudoja greitus optinius šviesolaidžius vietoje laidų bei didesnį RAM taktą konvejeryje.","Kvantinis susietumas (entanglement) leidžia modifikuoti vieno kubito būseną, kas neatsiejamai ir akimirksniu paveikia ir modifikuoja su juo susieto kito kubito būseną tikimybinėje erdvėje.","Kvantinio kompiuterio algoritmai remiasi atsitiktinumo ir tikimybių fizikos (kvantinės mechanikos) principais, o ne deterministiniais aiškiais 1 ir 0 klasikiniais skaičiavimais.","Nors kvantinis kompiuteris teoriškai yra neįtikėtinai galingas tam tikrose srityse, išvedimo (matavimo kolapso) ir dekoherencijos problemos vis dar stipriai riboja jo masišką komercinį pritaikomumą buityje.","A",""
