"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Pasirinkite visus teisingus atsakymus. Kurios iš šių priežasčių lemia, kad išblukimo pavyzdyje pikseliai apdorojami po 4, o ne po 8?","MMX registrai yra tik 32 bitų pločio","MMX neturi poslinkio instrukcijos baitų lygmeniu; mažiausia yra žodžio lygmens (16 bit) poslinkis","Apdorojant po 4 pikselius galima naudoti MOVD (32 bit) įkrovimą","Baitų lygio aritmetika su saturacija yra nepalaikoma MMX","B,C",""
"Kokiu tikslu išblukimo kode naudojama pxor mm6, mm6?","Nustatomas požymių registras perpildymo aptikimui","Sukuriamas nulinių baitų registras (mm6=0), naudojamas kaip antrasis PUNPCKLBW operandas baitų praplėtimui iki žodžių","Inicializuojamas sumavimo akumuliatorius","Išvalomas mm6 prieš jį naudojant kaip laikinąjį buferį pakavimui","B",""
"Koks yra PCMPxx instrukcijų palyginimo rezultatas, kai sąlyga yra teisinga?","Rezultatas saugomas EFLAGS registre","Visi baitai/žodžiai nustatomi į 0x00","Visi baitai/žodžiai nustatomi į 0xFF (visi bitai – 1)","Rezultato registras paliekamas nepakeistas","C",""
"PCMPGTB tikrina, ar src > dst, ar dst > src?","Lyginami tik aukšto eilės baitai","dst > src (paskirties registras didesnis už šaltinį)","Lyginamas absoliučioji reikšmė nepriklausomai nuo ženklo","src > dst (antrasis operandas didesnis už pirmąjį)","D",""
"Pasirinkite visus teisingus atsakymus. Kokios dvi pagrindinės MMX technologijos problemos paskatino SSE sukūrimą?","MMX registrai yra FPU registrų dalis, todėl jų negalima naudoti kartu su slankiojo kablelio aritmetika","MMX registrai yra per maži (tik 32 bit) efektyviam SIMD apdorojimui","MMX palaiko tik sveikuosius skaičius, o ne slankiojo kablelio","MMX neturi palyginimo instrukcijų","A,C",""
"Koks yra SSE (XMM) registro plotis bitais?","128","80","64","256","A",""
"Kiek XMM registrų egzistuoja klasikiniame 32 bitų SSE?","4","8","16","32","B",""
"Kuo skiriasi MOVAPS ir MOVUPS instrukcijos?","MOVAPS veikia tik su sveikaisiais skaičiais, MOVUPS – su slankiojo kablelio","MOVAPS perkelia tik žemuosius 64 bitus, MOVUPS – visus 128","MOVAPS reikalauja 16 baitų lygiavimo atmintyje ir yra greitas; MOVUPS dirba su nelygiuotais duomenimis ir yra lėtesnis","MOVAPS naudojamas su MMX, MOVUPS – su SSE2","C",""
"Pasirinkite visus teisingus atsakymus. Kurios iš šių SSE instrukcijų atlieka operaciją TIK su žemiausiu slankiojo kablelio elementu (skaliarinis režimas)?","addss","addps","subss","mulps","A,C",""
"SSE kode GCC kompiliatoriui masyvas deklaruojamas: float fmatrix[32]; be jokio lygiavimo atributo. Koks gali būti rezultatas vykdant movaps xmm0, [rax]?","Programa veiks lėčiau, bet teisingai","Instrukcija automatiškai persijungs į movups","Duomenys bus automatiškai sulygiuoti operacinės sistemos","Programa gali sugeneruoti segmentation fault arba general protection fault, nes movaps reikalauja 16 baitų lygiavimo","D",""
"Ką atlieka cvttps2dq instrukcija?","Konvertuoja 4 slankiojo kablelio skaičius (float) į 4 sveikuosius, nutrunkant (truncation – link nulio)","Konvertuoja 4 slankiojo kablelio skaičius (float) į 4 sveikuosius, apvalinant pagal standartines taisykles","Konvertuoja 4 sveikuosius skaičius (int) į 4 slankiojo kablelio skaičius (float)","Konvertuoja dvigubo tikslumo skaičius į viengubą tikslumą","A",""
"SSE palyginimo instrukcija cmpeqps xmm0, xmm1 buvo įvykdyta. xmm0 turėjo {4.0, 3.0, 2.0, 1.0}, o xmm1 – {4.0, 4.0, 4.0, 1.0}. Koks bus xmm0 po instrukcijos?","{ FF..FF, FF..FF, FF..FF, FF..FF } – visos pozicijos lygios","{ 00..00, 00..00, 00..00, 00..00 } – nė viena nelygūs","{ 00..00, FF..FF, FF..FF, 00..00 } – lygios 2-oji ir 3-ioji pozicijos","{ FF..FF, 00..00, 00..00, FF..FF } – lygios 1-oji ir 4-oji pozicijos","D",""
