QUESTION,ANSWER_A,ANSWER_B,ANSWER_C,ANSWER_D,ANSWERS,IMAGE
"Kuo skiriasi kubitas nuo klasikinio bito?","Kubitas didesnis","Kubitas gali būti 0 ir 1 tuo pat metu superpozicijoje","Kubitas naudoja daugiau elektros","Niekuo nesiskiria","B","https://en.wikipedia.org/wiki/Quantum_superposition"
"Kiek klasikinių būsenų gali saugoti N kubitų superpozicijoje?","N","2N","2^N","N^2","C","https://en.wikipedia.org/wiki/Qubit"
"Kas yra susietumas (entanglement)?","Procesoriaus pažaida","Keleto kvantinių dalelių susiejimas, kai viena priklauso nuo kitos būsenos","Kvantinio kompiuterio aušinimo sistema","Programavimo kalba","B","https://en.wikipedia.org/wiki/Quantum_entanglement"
"Kurios yra kvantinio bito realizacijos tipai?","Superlaidžios grandinės (superconducting circuits)","Jonų gaudyklės (ion traps)","Fotoninės grandinės (photonic circuits)","Magnetiniai diskai","A, B, C","https://en.wikipedia.org/wiki/Quantum_computing"
"Kokia yra tiesinė kubito išraiška?","|ψ⟩ = α|0⟩ + β|1⟩","|ψ⟩ = α × β","|ψ⟩ = 0 + 1","|ψ⟩ = a^2 + b^2","A","https://en.wikipedia.org/wiki/Qubit"
"Kas atsitinka, kai kubitas praranda superpoziciją?","Tampa klasikiniu bitu ir veikia kaip įprastas kompiuteris (net lėčiau)","Sprogsta","Sukuria naują kubitą","Padidina greitį","A","https://en.wikipedia.org/wiki/Quantum_decoherence"
"--- PROCESORIUS ---",,,,,,
"Kurios yra pagrindinės procesoriaus dalys?","ALU (Aritmetinis-Loginis Įtaisas)","CU (Valdymo Įtaisas)","Registrai","Klaviatūra","A, B, C","https://en.wikipedia.org/wiki/Central_processing_unit"
"Kuo skiriasi Von Neumann nuo Harvard architektūros?","Niekuo nesiskiria","Von Neumann turi bendrą atmintį instrukcijoms ir duomenims, Harvard - atskiras","Harvard naudojamas tik universitetuose","Von Neumann naudoja tik 8-bitų adresus","B","https://en.wikipedia.org/wiki/Von_Neumann_architecture"
"Kiek instrukcijų ciklo fazių yra?","3","4","6","8","C","https://en.wikipedia.org/wiki/Instruction_cycle"
"Kurios yra instrukcijos ciklo fazės?","FETCH","DECODE","EXECUTE","DELETE","A, B, C","https://en.wikipedia.org/wiki/Instruction_cycle"
"Ką atlieka FETCH fazė?","Nuskaito instrukciją iš atminties į Instrukcijų Registrą (IR)","Atlieka instrukciją","Išsaugo rezultatą","Apskaičiuoja operandų adresus","A","https://en.wikipedia.org/wiki/Instruction_cycle"
"Kiek bitų yra LC-3 procesorius?","8","16","32","64","B","https://en.wikipedia.org/wiki/Little_Computer_3"
"Pažymėkite, kurios ciklo fazės yra reikalingos instrukcijai 'mov eax, 5' įvykti.","FETCH","DECODE","EVALUATE ADDRESS","EXECUTE","A, B, D","https://en.wikipedia.org/wiki/Instruction_cycle"
"Kiek bendrosios paskirties registrų turi LC-3?","4 (R0-R3)","8 (R0-R7)","16 (R0-R15)","32 (R0-R31)","B","https://en.wikipedia.org/wiki/Little_Computer_3"
"--- VIRTUALI MAŠINA ---",,,,,,
"Kas yra virtuali mašina?","Efektyvi, izoliuota tikros kompiuterio mašinos kopija","Fizinis kompiuteris","Tinklo komutatorius","Operacinės sistemos branduolys","A","https://en.wikipedia.org/wiki/Virtual_machine"
"Kuo skiriasi emuliacija nuo virtualizacijos?","Niekuo nesiskiria","Emuliacija imituoja kito kompiuterio techninę įrangą; virtualizacija pateikia techninę įrangą kaip programinę","Emuliacija yra greitesnė","Virtualizacija veikia tik Linux","B","https://en.wikipedia.org/wiki/Emulator"
"Kuriame lygmenyje yra 1 tipo virtualizacijos hipervizorius?","Operacinės sistemos lygmenyje","Aparatinės įrangos lygmenyje (bare-metal)","Programos lygmenyje","Naršyklės lygmenyje","B","https://en.wikipedia.org/wiki/Hypervisor"
"Kurie yra virtualių mašinų privalumai?","Saugumas (izoliuota aplinka)","Programinės įrangos valdymas ir testavimas","Techninės įrangos resursų padalinimas","Padidina interneto greitį","A, B, C","https://en.wikipedia.org/wiki/Virtual_machine"
"Kurie yra virtualizacijos trūkumai?","VM architektūra priklauso nuo pagrindinio kompiuterio architektūros","Sumažėjęs našumo stabilumas esant didelei apkrovai","Brangus įgyvendinimas","Negalima naudoti kelių OS vienu metu","A, B, C","https://en.wikipedia.org/wiki/Hardware_virtualization"
"Kurie yra žinomi emuliatoriai / virtualizatoriai?","DOSBox","QEMU","BlueStacks","Adobe Photoshop","A, B, C","https://en.wikipedia.org/wiki/QEMU"
"Kuriame lygmenyje yra 2 tipo (hosted) virtualizacijos hipervizorius?","Operacinės sistemos lygmenyje","Aparatinės įrangos lygmenyje","BIOS lygmenyje","Tinklo lygmenyje","A","https://en.wikipedia.org/wiki/Hypervisor"
